Code,Name,Name_EN,Weight
89,An Giang,An Giang,1
24,Bac Giang,Bac Giang,1
6,Bac Kan,Bac Kan,1
95,Bac Lieu,Bac Lieu,1
27,Bac Ninh,Bac Ninh,1
83,Ben Tre,Ben Tre,100
52,Binh Dinh,Binh Dinh,1
74,Binh Duong,Binh Duong,1
70,Binh Phuoc,Binh Phuoc,1
60,Binh Thuan,Binh Thuan,1
96,Ca Mau,Ca Mau,1
92,Can Tho,Can Tho,1
4,Cao Bang,Cao Bang,1
66,Dak Lak,Dak Lak,1
67,Dak Nong,Dak Nong,1
11,Dien Bien,Dien Bien,1
75,Dong Nai,Dong Nai,1
87,Dong Thap,Dong Thap,1
64,Gia Lai,Gia Lai,1
2,Ha Giang,Ha Giang,1
35,Ha Nam,Ha Nam,1
1,Ha Noi,Ha Noi,1
42,Ha Tinh,Ha Tinh,1
30,Hai Duong,Hai Duong,1
31,Hai Phong,Hai Phong,1
93,Hau Giang,Hau Giang,1
17,Hoa Binh,Hoa Binh,1
33,Hung Yen,Hung Yen,100
62,Kon Tum,Kon Tum,1
12,Lai Chau,Lai Chau,1
68,Lam Dong,Lam Dong,1
20,Lang Son,Lang Son,1
10,Lao Cai,Lao Cai,100
80,Long An,Long An,1
36,Nam Dinh,Nam Dinh,1
40,Nghe An,Nghe An,1
37,Ninh Binh,Ninh Binh,1
58,Ninh Thuan,Ninh Thuan,1
25,Phu Tho,Phu Tho,1
54,Phu Yen,Phu Yen,100
44,Quang Binh,Quang Binh,1
49,Quang Nam,Quang Nam,1
51,Quang Ngai,Quang Ngai,1
22,Quang Ninh,Quang Ninh,1
45,Quang Tri,Quang Tri,1
94,Soc Trang,Soc Trang,1
14,Son La,Son La,1
72,Tay Ninh,Tay Ninh,1
34,Thai Binh,Thai Binh,1
19,Thai Nguyen,Thai Nguyen,1
38,Thanh Hoa,Thanh Hoa,1
46,Thua Thien - Hue,Thua Thien - Hue,1
82,Tien Giang,Tien Giang,1
79,TP. Ho Chi Minh,TP. Ho Chi Minh,1
84,Tra Vinh,Tra Vinh,1
8,Tuyen Quang,Tuyen Quang,1
86,Vinh Long,Vinh Long,1
26,Vinh Phuc,Vinh Phuc,1
15,Yen Bai,Yen Bai,1
48,Da Nang,Da Nang,100
56,Khanh Hoa,Khanh Hoa,1
91,Kien Giang,Kien Giang,1
77,Ba Ria - Vung Tau,Ba Ria - Vung Tau,1
